weekday,hour,games
0,0,82
0,1,70
0,2,82
0,3,74
0,4,71
0,5,74
0,6,74
0,7,67
0,8,37
0,9,19
0,10,11
0,11,10
0,12,20
0,13,25
0,14,46
0,15,43
0,16,71
0,17,92
0,18,100
0,19,126
0,20,142
0,21,155
0,22,161
0,23,185
1,0,164
1,1,162
1,2,160
1,3,134
1,4,131
1,5,97
1,6,67
1,7,51
1,8,32
1,9,28
1,10,17
1,11,14
1,12,16
1,13,20
1,14,29
1,15,44
1,16,55
1,17,73
1,18,93
1,19,102
1,20,116
1,21,131
1,22,132
1,23,132
2,0,123
2,1,146
2,2,143
2,3,143
2,4,132
2,5,91
2,6,73
2,7,46
2,8,34
2,9,27
2,10,16
2,11,9
2,12,14
2,13,16
2,14,30
2,15,38
2,16,54
2,17,79
2,18,86
2,19,105
2,20,90
2,21,103
2,22,111
2,23,124
3,0,138
3,1,138
3,2,145
3,3,127
3,4,113
3,5,99
3,6,67
3,7,60
3,8,39
3,9,26
3,10,19
3,11,11
3,12,14
3,13,24
3,14,30
3,15,44
3,16,61
3,17,72
3,18,95
3,19,97
3,20,115
3,21,119
3,22,120
3,23,138
4,0,122
4,1,128
4,2,136
4,3,125
4,4,102
4,5,94
4,6,67
4,7,45
4,8,37
4,9,20
4,10,16
4,11,13
4,12,12
4,13,19
4,14,29
4,15,42
4,16,58
4,17,64
4,18,79
4,19,91
4,20,100
4,21,98
4,22,120
4,23,117
5,0,123
5,1,136
5,2,144
5,3,143
5,4,117
5,5,105
5,6,79
5,7,49
5,8,29
5,9,22
5,10,10
5,11,12
5,12,13
5,13,22
5,14,36
5,15,48
5,16,65
5,17,93
5,18,94
5,19,128
5,20,134
5,21,112
5,22,129
5,23,130
6,0,130
6,1,142
6,2,136
6,3,140
6,4,129
6,5,102
6,6,83
6,7,56
6,8,31
6,9,25
6,10,20
6,11,21
6,12,18
6,13,22
6,14,49
6,15,70
6,16,104
6,17,115
6,18,63
6,19,66
6,20,83
6,21,78
6,22,78
6,23,72
