weekday,hour,games
0,0,279
0,1,268
0,2,274
0,3,261
0,4,231
0,5,212
0,6,143
0,7,108
0,8,61
0,9,37
0,10,14
0,11,10
0,12,16
0,13,35
0,14,77
0,15,132
0,16,204
0,17,253
0,18,267
0,19,326
0,20,351
0,21,370
0,22,377
0,23,387
1,0,391
1,1,375
1,2,356
1,3,339
1,4,269
1,5,197
1,6,124
1,7,80
1,8,37
1,9,20
1,10,4
1,11,8
1,12,11
1,13,28
1,14,53
1,15,93
1,16,132
1,17,168
1,18,190
1,19,211
1,20,240
1,21,271
1,22,315
1,23,345
2,0,359
2,1,385
2,2,344
2,3,324
2,4,267
2,5,198
2,6,126
2,7,74
2,8,34
2,9,22
2,10,6
2,11,13
2,12,8
2,13,30
2,14,48
2,15,88
2,16,128
2,17,159
2,18,183
2,19,194
2,20,236
2,21,261
2,22,282
2,23,248
3,0,265
3,1,286
3,2,277
3,3,254
3,4,225
3,5,161
3,6,109
3,7,57
3,8,34
3,9,13
3,10,6
3,11,6
3,12,11
3,13,17
3,14,42
3,15,74
3,16,113
3,17,120
3,18,148
3,19,168
3,20,177
3,21,216
3,22,225
3,23,258
4,0,263
4,1,273
4,2,263
4,3,243
4,4,211
4,5,154
4,6,101
4,7,51
4,8,22
4,9,12
4,10,6
4,11,4
4,12,6
4,13,12
4,14,41
4,15,80
4,16,112
4,17,121
4,18,144
4,19,174
4,20,190
4,21,201
4,22,236
4,23,240
5,0,263
5,1,282
5,2,265
5,3,253
5,4,211
5,5,158
5,6,98
5,7,53
5,8,36
5,9,14
5,10,6
5,11,4
5,12,9
5,13,22
5,14,43
5,15,79
5,16,110
5,17,142
5,18,164
5,19,180
5,20,210
5,21,229
5,22,244
5,23,255
6,0,253
6,1,250
6,2,244
6,3,239
6,4,215
6,5,171
6,6,124
6,7,74
6,8,36
6,9,16
6,10,12
6,11,6
6,12,6
6,13,33
6,14,64
6,15,115
6,16,157
6,17,196
6,18,234
6,19,246
6,20,258
6,21,274
6,22,293
6,23,270
