date,Northrend,Azeroth,Lordaeron,Kalimdor
2017-06-30,4596,1207,520,0
2017-07-01,5119,1429,415,0
2017-07-02,5752,1421,392,0
2017-07-03,4655,1160,430,0
2017-07-04,4607,1158,374,0
2017-07-05,4905,1080,353,0
2017-07-06,4794,1173,408,0
2017-07-07,4478,1206,466,0
2017-07-08,5578,1391,529,0
2017-07-09,5392,1516,457,0
2017-07-10,4658,1230,406,0
2017-07-11,4987,1078,413,0
2017-07-12,4787,1154,379,0
2017-07-13,4783,1211,365,0
2017-07-14,5431,559,137,0
2017-07-15,1682,0,0,0
2016-12-31,0,0,77,0
